JJF,name,sex,label,role,Geburtsdatum,Eintritt in Labela,Geburtsort,Status
PL,Pamela Long,1,2,1,0,1994,NJ,3
PW,Pee-Wee,2,0,1,1970,0,CA,0
QP,Quinnes Parker,2,2,1,1976,1996,GA,3
RAL,Ron Amen-Ra Lawrence,2,2,2,1965,1994,DA,0
RBX,RBX,2,1,1,1967,1992,CA,3
RE,Redrum 781,2,1,1,1974,1997,CA,3
RS,Rashad Smith,2,2,2,0,1994,0,0
SAM,Sam Sneed,2,1,3,1970,1993,PN,3
ScS,Schmoovy-Schmoov,0,0,0,0,0,0,0
SD,Snoop Dog,2,1,1,1971,1992,CA,4
SG,Shock G,2,0,1,1963,0,NYC,1
SWO,Swoop G,2,1,1,na,1996,0,3
SH,Shyne,2,2,1,1978,1998,NY,3
SJ,Stevie Jordan,2,2,2,1971,1995,NY,0
SL,Sheek Louch,2,2,1,1974,1996,NY,3
SN,Suge Knight,2,1,2,1965,1991,CA,2
SOO,Soopafly,2,1,3,1979,1998,CA,3
STY,Styles,2,2,1,1974,1996,NY,3
T,Tupac Shakur,2,1,1,1971,1995,NY,2
TAN,Tanya Trotter,1,2,3,19,1996,WA,3
TD,The D.O.C.,2,1,1,1968,1989,TX,3
TDP,Tha Dogg Pound,2,1,0,0,0,0,0
TL,The Lox,2,2,0,0,1996,0,0
TLOR,The Lady of Rage,2,1,1,1966,1993,VIR,3
TMY,T-Money,2,1,1,0,1995,0,3
TP,Top Dogg,2,1,1,1964,1996,JAM,3
TR,Tha Realest,2,1,1,1973,1999,CA,3
TRI,Trife,2,0,1,1980,0,NY,0
TT,Total,2,2,0,0,1994,0,0
YAK,Yaki Kadafi,2,1,1,1977,1996,NJ,1
YL,Younglord,2,2,2,1978,1994,NY,0
YON,Young Noble,2,1,1,1978,1995,NJ,3
YOS,Young Soldiers,0,0,0,0,0,0,0
YS,Young Soldierz,2,1,2,0,0,0,0
